id,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
261,23.5,7.9,3.5,1.3,47.4,0.115,0.4,11.8
262,4.2,2.4,1.4,0,0,-0.014,-8.2,-0.1
263,17.4,6.5,1.4,2.8,21.2,0.101,-0.2,4.6
264,4.1,0.9,0.9,0.2,0,-0.016,-8.1,-0.1
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,10.4,2.9,2.6,0.4,1,0.067,-4.5,-0.4
269,,,,,,,,
270,,,,,,,,
271,36.8,20.7,6.1,2.7,39.8,0.075,0.1,13.5
272,36,12.6,6.3,8.7,138.6,0.133,3.8,73.5
273,33.9,16.7,6,4.1,99.9,0.138,3,43.6
274,26.2,11.2,6.7,1.4,59,0.113,1.1,19.9
275,30.3,13.4,6.1,2.2,59.4,0.078,-1.6,3.8
276,22.3,9.7,5,0.6,1.4,0.015,-4.8,-3.2
277,25.1,11.3,4.1,1.3,19.8,0.052,-1.2,4
278,28.3,10.5,7.4,1.2,54.5,0.122,-0.8,6.2
279,18.2,4.5,4.6,0.4,8.5,0.048,-4.4,-5.2
280,34.4,14.8,4,2.9,100.6,0.147,3.1,42.3
281,19,7.4,4.3,0.6,11.1,0.095,-1,1.5
282,21.1,7.8,2.1,3.2,8.4,0.069,-1.3,1
283,30.3,14.3,3.5,3.8,47.2,0.081,-0.2,12.3
284,9.1,2.1,2.6,0,-0.7,-0.033,-8.4,-1.6
285,18.5,7.5,2.2,1,31,0.102,0.2,7.9
286,17.2,4.8,5.2,0.6,3.9,0.063,-3.5,-1.1
287,24.2,7.4,3.3,2.7,40,0.1,0.7,12.9
288,13.9,3.9,3.1,0.5,1.1,0.034,-4.3,-0.9
289,14.2,7.3,1.3,1.2,1.3,0.027,-3.3,-0.7
290,14.7,3.5,1.1,3.2,-0.7,-0.039,-5,-0.6
291,15.9,4.2,3.6,0.9,4.7,0.044,-4.5,-3.3
292,11,2.7,2,0.4,1.6,0.047,-5.3,-1.3
293,28.3,11.2,3.3,1.7,44,0.102,0.9,15.2
294,16.7,6.3,2.8,1.2,11.4,0.072,-1.8,0.3
295,18.6,6.9,2.7,1.4,8.2,0.077,-1.5,0.7
296,22.3,6.3,2.6,4,33,0.113,2.1,14.5
297,10.2,4.5,0.9,1.7,2,0.057,-1.5,0.2
298,,,,,,,,
299,9.8,2.3,1.5,0.3,1.7,0.057,-3.8,-0.6
300,20.4,6.5,1.7,3.5,19.5,0.058,-1.7,1.3
301,,,,,,,,
302,14.8,2.7,3.1,0.3,9.4,0.076,-2.2,-0.3
303,19.1,5.4,3.8,0.7,2.6,0.047,-2.8,-0.5
304,10.5,3.8,1.3,0.3,0.1,0.076,-1.2,0
305,23.5,5.6,7.1,1.5,23.4,0.107,-0.1,5.1
306,,,,,,,,
307,10.1,3.7,2.4,0.7,1.8,0.074,-2.6,-0.2
308,10.5,3.5,1.3,0.7,1.1,0.038,-3.3,-0.5
309,9,2.8,2.7,0.4,3.8,0.11,-2.6,-0.2
310,5.3,1.6,0.6,0.3,0,-0.03,-4.9,0
311,,,,,,,,
312,,,,,,,,
313,6,1.8,2.2,0.2,1.3,0.101,-3.8,-0.3
314,,,,,,,,
315,9.6,4.1,1.4,0.4,0.2,0.025,-3.5,-0.1
316,27.2,11.9,2.8,2.1,29.6,0.093,0,7.9
317,12.2,3.2,1.5,1.1,1.2,0.045,-1.5,0.2
318,,,,,,,,
319,,,,,,,,
320,2.3,0.7,0.7,0,0,-0.179,-18.9,0
321,14.9,6.4,3.6,0.6,12.9,0.131,-0.5,1.8
322,18.6,6.3,1.3,2.8,6.4,0.062,-1.8,0.3
323,,,,,,,,
324,15.3,5.9,3.2,0.4,8.3,0.121,-2.2,-0.2
325,26.2,10.9,6.4,1,60.3,0.107,-1.5,3
326,27.6,12,7.5,1.3,69.8,0.119,-0.1,13.2
327,31.2,16.9,3.2,3.3,52.4,0.083,0.3,17.4
328,32.7,14.4,6.7,1.8,105.1,0.139,2.2,38.3
329,34.5,17.8,10,3.7,191.4,0.182,5.6,96.9
330,30.6,12.5,6.9,1.6,13,0.052,-3.4,-4.3
331,33.2,13.4,3.5,6.1,55.4,0.091,0.3,16.8
332,13.7,4.9,1.3,1,2.1,0.043,-2.3,-0.2
333,16.1,5,2.5,0.8,1.1,0.025,-3.5,-0.7
334,24.5,8.1,6.6,1.1,64.2,0.114,-0.8,8.6
335,19.5,8.6,4.5,1,23.2,0.113,-1,2.4
336,15.8,4.4,3.6,0.6,11.8,0.076,-2.4,-0.7
337,22.8,11.1,3.9,1.2,34.7,0.089,-2,-0.1
338,23.9,8.6,3.3,1.4,23.2,0.071,-2.4,-1.5
339,25.9,9.3,3,3.2,70.5,0.143,2.6,27.7
340,21.1,7.8,5,0.6,28,0.097,-1.8,0.6
341,23.7,8.6,3.4,3.8,28.3,0.087,0.4,9.4
342,25.3,7.2,5.7,0.6,47.9,0.112,0,10.3
